"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 02:29:19 UTC 2023","Sun Sep 24 02:29:22 UTC 2023","3813","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Sun Sep 24 03:31:32 UTC 2023","Sun Sep 24 03:31:43 UTC 2023","11314","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Sep 24 02:38:30 UTC 2023","Sun Sep 24 02:38:32 UTC 2023","2067","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Sep 24 03:50:51 UTC 2023","Sun Sep 24 03:50:55 UTC 2023","3940","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Sep 24 04:04:34 UTC 2023","Sun Sep 24 04:04:44 UTC 2023","9728","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Sep 24 04:07:42 UTC 2023","Sun Sep 24 04:07:43 UTC 2023","1411","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Sun Sep 24 04:21:35 UTC 2023","Sun Sep 24 04:21:35 UTC 2023","23","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Sun Sep 24 02:32:26 UTC 2023","Sun Sep 24 02:32:26 UTC 2023","362","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Sep 24 03:02:36 UTC 2023","Sun Sep 24 03:02:45 UTC 2023","8291","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Sun Sep 24 04:22:03 UTC 2023","Sun Sep 24 04:22:07 UTC 2023","3902","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sun Sep 24 04:07:38 UTC 2023","Sun Sep 24 04:07:40 UTC 2023","2884","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Sun Sep 24 03:37:39 UTC 2023","Sun Sep 24 03:37:40 UTC 2023","1266","","12. Client Portal - Forms","","","","2. Check Form Page",""
